"Task Code","Task Item Code","File Name","File Depth","Success","Time Completion","Number Of Step","Use Adaptive Interface","Generated At"
"G","G-1","Tugas Week 13_GrupAyeAyeDI_IF-42GAB-01","3","1","13","4","0","2022-08-01 21:20:50"
"G","G-2","Demonstrasi CSRF.mkv","5","1","14","6","0","2022-08-01 21:20:50"
"G","G-3","Demonstrasi Local File Inclusion.mkv","5","1","14","6","0","2022-08-01 21:20:50"
"G","G-4","Demonstrasi CSRF.mkv","5","1","16","6","0","2022-08-01 21:20:50"
"G","G-5","Demonstrasi Local File Inclusion.mkv","5","1","14","6","0","2022-08-01 21:20:50"
"G","G-6","Demonstrasi CSRF.mkv","5","1","14","6","0","2022-08-01 21:20:50"
"G","G-7","SURAT PERNYATAAN TIDAK BEKERJA  - ADRI NUR FAJARI","1","1","22","2","0","2022-08-01 21:20:50"
"G","G-8","Tugas 11 IMK KELOMPOK E IF4311","2","1","20","3","0","2022-08-01 21:20:50"
"G","G-9","Demonstrasi CSRF.mkv","5","1","13","6","0","2022-08-01 21:20:50"
"G","G-10","Tugas Week 13_GrupAyeAyeDI_IF-42GAB-01","3","1","11","4","0","2022-08-01 21:20:50"
