"Task Code","Task Item Code","File Name","File Depth","Success","Time Completion","Number Of Step","Use Adaptive Interface","Generated At"
"GH1","GH1-1","Tugas Week 13_GrupAyeAyeDI_IF-42GAB-01","3","1","12","4","0","2022-08-01 21:19:39"
"GH1","GH1-2","Tugas 11 IMK KELOMPOK E IF4311","2","1","18","3","0","2022-08-01 21:19:39"
"GH1","GH1-3","Tugas Week 13_GrupAyeAyeDI_IF-42GAB-01","3","1","13","4","0","2022-08-01 21:19:39"
"GH1","GH1-4","Demonstrasi Local File Inclusion.mkv","5","1","17","6","0","2022-08-01 21:19:39"
"GH1","GH1-5","Demonstrasi Local File Inclusion.mkv","5","1","16","6","0","2022-08-01 21:19:39"
"GH1","GH1-6","Demonstrasi CSRF.mkv","5","1","16","6","0","2022-08-01 21:19:39"
"GH1","GH1-7","Demonstrasi CSRF.mkv","5","1","13","6","0","2022-08-01 21:19:39"
"GH1","GH1-8","SURAT PERNYATAAN TIDAK BEKERJA  - ADRI NUR FAJARI","1","1","79","2","0","2022-08-01 21:19:39"
"GH1","GH1-9","Demonstrasi CSRF.mkv","5","1","23","6","0","2022-08-01 21:19:39"
"GH1","GH1-10","Demonstrasi CSRF.mkv","5","1","22","6","0","2022-08-01 21:19:39"
