"Task Code","Task Item Code","File Name","File Depth","Success","Time Completion","Number Of Step","Use Adaptive Interface","Generated At"
"Q","Q-1","Tugas Week 13_GrupAyeAyeDI_IF-42GAB-01","3","1","13","4","0","2022-08-01 21:23:10"
"Q","Q-2","Demonstrasi Local File Inclusion.mkv","5","1","11","4","1","2022-08-01 21:23:10"
"Q","Q-3","Demonstrasi CSRF.mkv","5","1","6","3","1","2022-08-01 21:23:10"
"Q","Q-4","Demonstrasi CSRF.mkv","5","1","5","3","1","2022-08-01 21:23:10"
"Q","Q-5","Demonstrasi Local File Inclusion.mkv","5","1","6","4","1","2022-08-01 21:23:10"
"Q","Q-6","SURAT PERNYATAAN TIDAK BEKERJA  - ADRI NUR FAJARI","1","1","21","3","1","2022-08-01 21:23:10"
"Q","Q-7","Demonstrasi CSRF.mkv","5","1","7","3","1","2022-08-01 21:23:10"
"Q","Q-8","Tugas Week 13_GrupAyeAyeDI_IF-42GAB-01","3","1","11","4","0","2022-08-01 21:23:10"
"Q","Q-9","Demonstrasi CSRF.mkv","5","1","6","3","1","2022-08-01 21:23:10"
"Q","Q-10","Tugas 11 IMK KELOMPOK E IF4311","2","1","11","3","1","2022-08-01 21:23:10"
