"Task Code","Task Item Code","File Name","File Depth","Success","Time Completion","Number Of Step","Use Adaptive Interface","Generated At"
"G","G-1","TUGAS WEEK 6_Afiliator Halal Team_Revisi.pptx","4","1","31","5","0","2022-07-31 12:16:15"
"G","G-2","MockUp_CuanIn.pdf","3","1","11","4","0","2022-07-31 12:16:15"
"G","G-3","TUGAS WEEK 6_Afiliator Halal Team_Revisi.pptx","4","1","11","5","0","2022-07-31 12:16:15"
"G","G-4","Tema: E-Finance","1","1","21","2","0","2022-07-31 12:16:15"
"G","G-5","TUBES CLO 3 - Sistem Pemberi Rekomendasi.ipynb","2","1","35","3","0","2022-07-31 12:16:15"
"G","G-6","TUGAS WEEK 6_Afiliator Halal Team_Revisi.pptx","4","1","12","5","0","2022-07-31 12:16:15"
"G","G-7","TUGAS WEEK 6_Afiliator Halal Team_Revisi.pptx","4","1","17","5","0","2022-07-31 12:16:15"
"G","G-8","TUGAS WEEK 10_Afiliatior Halal Team.pptx","4","1","15","5","0","2022-07-31 12:16:15"
"G","G-9","TUGAS WEEK 10_Afiliatior Halal Team.pptx","4","1","12","5","0","2022-07-31 12:16:15"
"G","G-10","MockUp_CuanIn.pdf","3","1","8","4","0","2022-07-31 12:16:15"
