"Task Code","Task Item Code","File Name","File Depth","Success","Time Completion","Number Of Step","Use Adaptive Interface","Generated At"
"GH1","GH1-1","TUGAS WEEK 10_Afiliatior Halal Team.pptx","4","1","34","5","0","2022-07-31 12:14:08"
"GH1","GH1-2","TUBES CLO 3 - Sistem Pemberi Rekomendasi.ipynb","2","1","21","3","0","2022-07-31 12:14:08"
"GH1","GH1-3","MockUp_CuanIn.pdf","3","1","15","4","0","2022-07-31 12:14:08"
"GH1","GH1-4","TUGAS WEEK 6_Afiliator Halal Team_Revisi.pptx","4","1","12","5","0","2022-07-31 12:14:08"
"GH1","GH1-5","MockUp_CuanIn.pdf","3","1","19","4","0","2022-07-31 12:14:08"
"GH1","GH1-6","TUGAS WEEK 6_Afiliator Halal Team_Revisi.pptx","4","1","23","5","0","2022-07-31 12:14:08"
"GH1","GH1-7","TUGAS WEEK 10_Afiliatior Halal Team.pptx","4","1","20","5","0","2022-07-31 12:14:08"
"GH1","GH1-8","TUGAS WEEK 6_Afiliator Halal Team_Revisi.pptx","4","1","12","5","0","2022-07-31 12:14:08"
"GH1","GH1-9","TUGAS WEEK 6_Afiliator Halal Team_Revisi.pptx","4","1","16","5","0","2022-07-31 12:14:08"
"GH1","GH1-10","Tema: E-Finance","1","1","23","2","0","2022-07-31 12:14:08"
