"Task Code","Task Item Code","File Name","File Depth","Success","Time Completion","Number Of Step","Use Adaptive Interface","Generated At"
"Q","Q-1","turnover-data-set.csv","2","1","15","3","1","2022-07-31 12:19:26"
"Q","Q-2","FinalProjectDI_IF-42-Gab02_AffiliatorHalalTeam.pdf","4","1","31","4","1","2022-07-31 12:19:26"
"Q","Q-3","FinalProjectDI_IF-42-Gab02_AffiliatorHalalTeam.pdf","4","1","21","5","1","2022-07-31 12:19:26"
"Q","Q-4","TUGAS WEEK 5_Afiliator Halal Team_Revisi.pptx","4","1","15","3","1","2022-07-31 12:19:26"
"Q","Q-5","TUGAS WEEK 5_Afiliator Halal Team_Revisi.pptx","4","1","7","3","1","2022-07-31 12:19:26"
"Q","Q-6","TUGAS WEEK 5_Afiliator Halal Team_Revisi.pptx","4","1","8","3","1","2022-07-31 12:19:26"
"Q","Q-7","ProgressProjectDI_IF-42-Gab02_AffiliatorHalalTeam.pptx","3","1","12","5","1","2022-07-31 12:19:26"
"Q","Q-8","TUGAS WEEK 5_Afiliator Halal Team_Revisi.pptx","4","1","9","3","1","2022-07-31 12:19:26"
"Q","Q-9","Timeline COVID-19 di Indonesia @kawalcovid19","1","1","11","4","1","2022-07-31 12:19:26"
"Q","Q-10","ProgressProjectDI_IF-42-Gab02_AffiliatorHalalTeam.pptx","3","1","13","4","1","2022-07-31 12:19:26"
