"Task Code","Task Item Code","File Name","File Depth","Success","Time Completion","Number Of Step","Use Adaptive Interface","Generated At"
"QH","QH-1","Timeline COVID-19 di Indonesia @kawalcovid19","1","1","32","5","1","2022-07-31 12:18:07"
"QH","QH-2","turnover-data-set.csv","2","1","16","3","1","2022-07-31 12:18:07"
"QH","QH-3","TUGAS WEEK 5_Afiliator Halal Team_Revisi.pptx","4","1","13","3","1","2022-07-31 12:18:07"
"QH","QH-4","TUGAS WEEK 5_Afiliator Halal Team_Revisi.pptx","4","1","6","3","1","2022-07-31 12:18:07"
"QH","QH-5","TUGAS WEEK 5_Afiliator Halal Team_Revisi.pptx","4","1","8","3","1","2022-07-31 12:18:07"
"QH","QH-6","FinalProjectDI_IF-42-Gab02_AffiliatorHalalTeam.pdf","4","1","19","4","1","2022-07-31 12:18:07"
"QH","QH-7","FinalProjectDI_IF-42-Gab02_AffiliatorHalalTeam.pdf","4","1","20","4","1","2022-07-31 12:18:07"
"QH","QH-8","ProgressProjectDI_IF-42-Gab02_AffiliatorHalalTeam.pptx","3","1","20","5","1","2022-07-31 12:18:07"
"QH","QH-9","TUGAS WEEK 5_Afiliator Halal Team_Revisi.pptx","4","1","9","3","1","2022-07-31 12:18:07"
"QH","QH-10","ProgressProjectDI_IF-42-Gab02_AffiliatorHalalTeam.pptx","3","1","21","4","1","2022-07-31 12:18:07"
