"Task Code","Task Item Code","File Name","File Depth","Success","Time Completion","Number Of Step","Use Adaptive Interface","Generated At"
"G","G-1","Dayat Pe - UAS PSIKOLOGI PENDIDIKAN - PPKN","3","1","13","4","0","2022-07-31 21:44:20"
"G","G-2","Dayat Pe - NILAI AKHIR + TUGAS UTS PPKN","3","1","12","4","0","2022-07-31 21:44:20"
"G","G-3","Dayat Pe - NILAI AKHIR + TUGAS UTS PPKN","3","1","12","4","0","2022-07-31 21:44:20"
"G","G-4","Ally Nafal - SISTAKSIS PEMBELAJARAN MODEL","3","1","12","4","0","2022-07-31 21:44:20"
"G","G-5","Ally Nafal - SISTAKSIS PEMBELAJARAN MODEL","3","1","10","4","0","2022-07-31 21:44:20"
"G","G-6","Istilah dalam Hukum Acara Perdata.pdf","1","1","10","2","0","2022-07-31 21:44:20"
"G","G-7","Dayat Pe - UAS PSIKOLOGI PENDIDIKAN - PPKN","3","1","12","4","0","2022-07-31 21:44:20"
"G","G-8","Ally Nafal - SISTAKSIS PEMBELAJARAN MODEL","3","1","12","4","0","2022-07-31 21:44:20"
"G","G-9","Ally Nafal - SISTAKSIS PEMBELAJARAN MODEL","3","1","11","4","0","2022-07-31 21:44:20"
"G","G-10","UsbenFathinHimama 1941010458 KA_UTS.mp4","1","1","10","2","0","2022-07-31 21:44:20"
