"Task Code","Task Item Code","File Name","File Depth","Success","Time Completion","Number Of Step","Use Adaptive Interface","Generated At"
"GH1","GH1-1","Dayat Pe - UAS PSIKOLOGI PENDIDIKAN - PPKN","3","1","19","4","0","2022-07-31 21:42:17"
"GH1","GH1-2","Dayat Pe - NILAI AKHIR + TUGAS UTS PPKN","3","1","16","4","0","2022-07-31 21:42:17"
"GH1","GH1-3","Ally Nafal - SISTAKSIS PEMBELAJARAN MODEL","3","1","16","4","0","2022-07-31 21:42:17"
"GH1","GH1-4","Ally Nafal - SISTAKSIS PEMBELAJARAN MODEL","3","1","13","4","0","2022-07-31 21:42:17"
"GH1","GH1-5","Ally Nafal - SISTAKSIS PEMBELAJARAN MODEL","3","1","12","4","0","2022-07-31 21:42:17"
"GH1","GH1-6","Istilah dalam Hukum Acara Perdata.pdf","1","1","17","2","0","2022-07-31 21:42:17"
"GH1","GH1-7","Dayat Pe - NILAI AKHIR + TUGAS UTS PPKN","3","1","12","4","0","2022-07-31 21:42:17"
"GH1","GH1-8","Ally Nafal - SISTAKSIS PEMBELAJARAN MODEL","3","1","14","4","0","2022-07-31 21:42:17"
"GH1","GH1-9","UsbenFathinHimama 1941010458 KA_UTS.mp4","1","1","28","2","0","2022-07-31 21:42:17"
"GH1","GH1-10","Dayat Pe - UAS PSIKOLOGI PENDIDIKAN - PPKN","3","1","19","4","0","2022-07-31 21:42:17"
