"Task Code","Task Item Code","File Name","File Depth","Success","Time Completion","Number Of Step","Use Adaptive Interface","Generated At"
"Q","Q-1","Ally Nafal - SISTAKSIS PEMBELAJARAN MODEL","3","1","11","4","0","2022-07-31 21:49:04"
"Q","Q-2","Istilah dalam Hukum Acara Perdata.pdf","1","1","10","3","1","2022-07-31 21:49:04"
"Q","Q-3","Ally Nafal - SISTAKSIS PEMBELAJARAN MODEL","3","1","13","4","1","2022-07-31 21:49:04"
"Q","Q-4","Dayat Pe - NILAI AKHIR + TUGAS UTS PPKN","3","1","16","3","1","2022-07-31 21:49:04"
"Q","Q-5","Dayat Pe - UAS PSIKOLOGI PENDIDIKAN - PPKN","3","1","9","3","1","2022-07-31 21:49:04"
"Q","Q-6","Ally Nafal - SISTAKSIS PEMBELAJARAN MODEL","3","1","13","4","1","2022-07-31 21:49:04"
"Q","Q-7","UsbenFathinHimama 1941010458 KA_UTS.mp4","1","1","11","3","1","2022-07-31 21:49:04"
"Q","Q-8","Dayat Pe - NILAI AKHIR + TUGAS UTS PPKN","3","1","14","3","1","2022-07-31 21:49:04"
"Q","Q-9","Dayat Pe - UAS PSIKOLOGI PENDIDIKAN - PPKN","3","1","10","3","1","2022-07-31 21:49:04"
"Q","Q-10","Ally Nafal - SISTAKSIS PEMBELAJARAN MODEL","3","1","13","4","1","2022-07-31 21:49:04"
