"Task Code","Task Item Code","File Name","File Depth","Success","Time Completion","Number Of Step","Use Adaptive Interface","Generated At"
"G","G-1","SKPL_A2T(Revisi).pdf","4","1","15","5","0","2022-08-01 11:22:04"
"G","G-2","Manual Testing.docx","5","1","11","6","0","2022-08-01 11:22:04"
"G","G-3","Manual Testing.docx","5","1","13","6","0","2022-08-01 11:22:04"
"G","G-4","proposal_fairuz abid insaanullah_rev.docx","3","1","9","4","0","2022-08-01 11:22:04"
"G","G-5","EPRT_1301180151_Fairuz Abid Insanullah.pdf","2","1","17","3","0","2022-08-01 11:22:04"
"G","G-6","Feedback Tentang Prototype Perbaikan Aplikasi TravelAja (Responses)","1","1","7","2","0","2022-08-01 11:22:04"
"G","G-7","SKPL_A2T(Revisi).pdf","4","1","22","5","0","2022-08-01 11:22:04"
"G","G-8","Manual Testing.docx","5","1","11","6","0","2022-08-01 11:22:04"
"G","G-9","Manual Testing.docx","5","1","10","6","0","2022-08-01 11:22:04"
"G","G-10","proposal_fairuz abid insaanullah_rev.docx","3","1","9","4","0","2022-08-01 11:22:04"
