"Task Code","Task Item Code","File Name","File Depth","Success","Time Completion","Number Of Step","Use Adaptive Interface","Generated At"
"GH1","GH1-1","EPRT_1301180151_Fairuz Abid Insanullah.pdf","2","1","14","3","0","2022-08-01 11:19:32"
"GH1","GH1-2","SKPL_A2T(Revisi).pdf","4","1","16","5","0","2022-08-01 11:19:32"
"GH1","GH1-3","proposal_fairuz abid insaanullah_rev.docx","3","1","8","4","0","2022-08-01 11:19:32"
"GH1","GH1-4","Feedback Tentang Prototype Perbaikan Aplikasi TravelAja (Responses)","1","1","5","2","0","2022-08-01 11:19:32"
"GH1","GH1-5","Manual Testing.docx","5","1","23","6","0","2022-08-01 11:19:32"
"GH1","GH1-6","Manual Testing.docx","5","1","16","6","0","2022-08-01 11:19:32"
"GH1","GH1-7","SKPL_A2T(Revisi).pdf","4","1","13","5","0","2022-08-01 11:19:32"
"GH1","GH1-8","proposal_fairuz abid insaanullah_rev.docx","3","1","8","4","0","2022-08-01 11:19:32"
"GH1","GH1-9","Manual Testing.docx","5","1","10","6","0","2022-08-01 11:19:32"
"GH1","GH1-10","Manual Testing.docx","5","1","11","6","0","2022-08-01 11:19:32"
