"Task Code","Task Item Code","File Name","File Depth","Success","Time Completion","Number Of Step","Use Adaptive Interface","Generated At"
"Q","Q-1","proposal_fairuz abid insaanullah_rev.docx","3","1","14","4","1","2022-08-01 11:24:47"
"Q","Q-2","EPRT_1301180151_Fairuz Abid Insanullah.pdf","2","1","7","3","1","2022-08-01 11:24:47"
"Q","Q-3","SKPL_A2T(Revisi).pdf","4","1","25","5","1","2022-08-01 11:24:47"
"Q","Q-4","Manual Testing.docx","5","1","11","5","1","2022-08-01 11:24:47"
"Q","Q-5","SKPL_A2T(Revisi).pdf","4","1","15","4","1","2022-08-01 11:24:47"
"Q","Q-6","Manual Testing.docx","5","1","11","5","1","2022-08-01 11:24:47"
"Q","Q-7","Manual Testing.docx","5","1","7","5","1","2022-08-01 11:24:47"
"Q","Q-8","proposal_fairuz abid insaanullah_rev.docx","3","1","12","4","1","2022-08-01 11:24:47"
"Q","Q-9","Feedback Tentang Prototype Perbaikan Aplikasi TravelAja (Responses)","1","1","9","3","1","2022-08-01 11:24:47"
"Q","Q-10","Manual Testing.docx","5","1","10","5","1","2022-08-01 11:24:47"
