"Task Code","Task Item Code","File Name","File Depth","Success","Time Completion","Number Of Step","Use Adaptive Interface","Generated At"
"G","G-1","LAPORAN BUKTI POSTINGAN SOSIAL MEDIA YUDITIA HERLAMBANG 1811030306.pdf","1","1","13","2","0","2022-07-31 17:16:09"
"G","G-2","PEDOMAN PENULISAN TUGAS AKHIR Mhs S1 protected.pdf","3","1","17","4","0","2022-07-31 17:16:09"
"G","G-3","PEDOMAN PENULISAN TUGAS AKHIR Mhs S1 protected.pdf","3","1","13","4","0","2022-07-31 17:16:09"
"G","G-4","Kepemimpinan Visioner ( PDFDrive ).pdf","4","1","27","5","0","2022-07-31 17:16:09"
"G","G-5","SKRIPSI KEMINA.pdf","5","1","17","6","0","2022-07-31 17:16:09"
"G","G-6","PROPOSAL YUDITIA HERLAMBANG 1811030306 revisi sempro.docx","2","1","36","5","0","2022-07-31 17:16:09"
"G","G-7","SKRIPSI KEMINA.pdf","5","1","16","6","0","2022-07-31 17:16:09"
"G","G-8","SKRIPSI KEMINA.pdf","5","1","15","6","0","2022-07-31 17:16:09"
"G","G-9","SKRIPSI KEMINA.pdf","5","1","20","6","0","2022-07-31 17:16:09"
"G","G-10","Kepemimpinan Visioner ( PDFDrive ).pdf","4","1","44","4","0","2022-07-31 17:16:09"
