"Task Code","Task Item Code","File Name","File Depth","Success","Time Completion","Number Of Step","Use Adaptive Interface","Generated At"
"GH1","GH1-1","PEDOMAN PENULISAN TUGAS AKHIR Mhs S1 protected.pdf","3","1","17","3","0","2022-07-31 17:13:23"
"GH1","GH1-2","SKRIPSI KEMINA.pdf","5","1","23","6","0","2022-07-31 17:13:23"
"GH1","GH1-3","SKRIPSI KEMINA.pdf","5","1","20","6","0","2022-07-31 17:13:23"
"GH1","GH1-4","PEDOMAN PENULISAN TUGAS AKHIR Mhs S1 protected.pdf","3","1","20","4","0","2022-07-31 17:13:23"
"GH1","GH1-5","PROPOSAL YUDITIA HERLAMBANG 1811030306 revisi sempro.docx","2","1","7","3","0","2022-07-31 17:13:23"
"GH1","GH1-6","SKRIPSI KEMINA.pdf","5","1","24","6","0","2022-07-31 17:13:23"
"GH1","GH1-7","LAPORAN BUKTI POSTINGAN SOSIAL MEDIA YUDITIA HERLAMBANG 1811030306.pdf","1","1","17","2","0","2022-07-31 17:13:23"
"GH1","GH1-8","SKRIPSI KEMINA.pdf","5","1","16","6","0","2022-07-31 17:13:23"
"GH1","GH1-9","Kepemimpinan Visioner ( PDFDrive ).pdf","4","1","13","5","0","2022-07-31 17:13:23"
"GH1","GH1-10","Kepemimpinan Visioner ( PDFDrive ).pdf","4","1","14","5","0","2022-07-31 17:13:23"
