"Task Code","Task Item Code","File Name","File Depth","Success","Time Completion","Number Of Step","Use Adaptive Interface","Generated At"
"Q","Q-1","PEDOMAN PENULISAN TUGAS AKHIR Mhs S1 protected.pdf","3","1","17","3","1","2022-07-31 17:17:58"
"Q","Q-2","SKRIPSI KEMINA.pdf","5","1","13","4","1","2022-07-31 17:17:58"
"Q","Q-3","Kepemimpinan Visioner ( PDFDrive ).pdf","4","1","15","4","1","2022-07-31 17:17:58"
"Q","Q-4","Kepemimpinan Visioner ( PDFDrive ).pdf","4","1","13","4","1","2022-07-31 17:17:58"
"Q","Q-5","PROPOSAL YUDITIA HERLAMBANG 1811030306 revisi sempro.docx","2","1","7","3","1","2022-07-31 17:17:58"
"Q","Q-6","PEDOMAN PENULISAN TUGAS AKHIR Mhs S1 protected.pdf","3","1","12","3","1","2022-07-31 17:17:58"
"Q","Q-7","SKRIPSI KEMINA.pdf","5","1","11","4","1","2022-07-31 17:17:58"
"Q","Q-8","SKRIPSI KEMINA.pdf","5","1","13","4","1","2022-07-31 17:17:58"
"Q","Q-9","LAPORAN BUKTI POSTINGAN SOSIAL MEDIA YUDITIA HERLAMBANG 1811030306.pdf","1","1","8","2","0","2022-07-31 17:17:58"
"Q","Q-10","SKRIPSI KEMINA.pdf","5","1","11","4","1","2022-07-31 17:17:58"
